Depot_0 = {0};
Stations = {1,2,3,4,5,6,};
Customers = {7,8,9,10,11,};
Depot_N1 = {12};

v = 1.0;
C = 200.0;
Q = 77.75;
g = 3.47;
h = 1.0;

XCoord = #[
0	:	40.0
1	:	40.0
2	:	40.0
3	:	40.0
4	:	39.0
5	:	39.0
6	:	39.0
7	:	30.0
8	:	58.0
9	:	48.0
10	:	40.0
11	:	25.0
12	:	40.0
]#;

YCoord = #[
0	:	50.0
1	:	50.0
2	:	50.0
3	:	50.0
4	:	26.0
5	:	26.0
6	:	26.0
7	:	50.0
8	:	75.0
9	:	40.0
10	:	15.0
11	:	50.0
12	:	50.0
]#;

q = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	6.0
8	:	15.0
9	:	8.0
10	:	15.0
11	:	5.0
12	:	0.0
]#;

p = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	4.0
8	:	5.0
9	:	2.0
10	:	25.0
11	:	5.0
12	:	0.0
]#;

e = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	67.0
10	:	989.0
11	:	0.0
12	:	0.0
]#;

l = #[
0	:	1236.0
1	:	1236.0
2	:	1236.0
3	:	1236.0
4	:	1236.0
5	:	1236.0
6	:	1236.0
7	:	1136.0
8	:	1115.0
9	:	139.0
10	:	1063.0
11	:	1131.0
12	:	1236.0
]#;

s = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	90.0
8	:	90.0
9	:	90.0
10	:	90.0
11	:	90.0
12	:	0.0
]#;
