Depot_0 = {0};
Stations = {1,2,3,4,5,6,7,8,9,};
Customers = {10,11,12,13,14,};
Depot_N1 = {15};

v = 1.0;
C = 200.0;
Q = 60.63;
g = 0.49;
h = 1.0;

XCoord = #[
0	:	35.0
1	:	35.0
2	:	35.0
3	:	35.0
4	:	48.0
5	:	48.0
6	:	48.0
7	:	15.0
8	:	15.0
9	:	15.0
10	:	57.0
11	:	41.0
12	:	15.0
13	:	28.0
14	:	20.0
15	:	35.0
]#;

YCoord = #[
0	:	35.0
1	:	35.0
2	:	35.0
3	:	35.0
4	:	60.0
5	:	60.0
6	:	60.0
7	:	42.0
8	:	42.0
9	:	42.0
10	:	68.0
11	:	49.0
12	:	30.0
13	:	18.0
14	:	26.0
15	:	35.0
]#;

q = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	12.0
11	:	8.0
12	:	13.0
13	:	16.0
14	:	6.0
15	:	0.0
]#;

p = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	3.0
11	:	2.0
12	:	13.0
13	:	10.0
14	:	3.0
15	:	0.0
]#;

e = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	36.0
12	:	0.0
13	:	166.0
14	:	0.0
15	:	0.0
]#;

l = #[
0	:	230.0
1	:	230.0
2	:	230.0
3	:	230.0
4	:	230.0
5	:	230.0
6	:	230.0
7	:	230.0
8	:	230.0
9	:	230.0
10	:	180.0
11	:	46.0
12	:	199.0
13	:	176.0
14	:	202.0
15	:	230.0
]#;

s = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	10.0
11	:	10.0
12	:	10.0
13	:	10.0
14	:	10.0
15	:	0.0
]#;
