Depot_0 = {0};
Stations = {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,};
Customers = {64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,};
Depot_N1 = {164};

v = 1.0;
C = 200.0;
Q = 79.69;
g = 3.39;
h = 1.0;

XCoord = #[
0	:	40.0
1	:	40.0
2	:	40.0
3	:	40.0
4	:	73.0
5	:	73.0
6	:	73.0
7	:	90.0
8	:	90.0
9	:	90.0
10	:	55.0
11	:	55.0
12	:	55.0
13	:	69.0
14	:	69.0
15	:	69.0
16	:	32.0
17	:	32.0
18	:	32.0
19	:	39.0
20	:	39.0
21	:	39.0
22	:	23.0
23	:	23.0
24	:	23.0
25	:	4.0
26	:	4.0
27	:	4.0
28	:	18.0
29	:	18.0
30	:	18.0
31	:	1.0
32	:	1.0
33	:	1.0
34	:	13.0
35	:	13.0
36	:	13.0
37	:	-5.0
38	:	-5.0
39	:	-5.0
40	:	26.0
41	:	26.0
42	:	26.0
43	:	28.0
44	:	28.0
45	:	28.0
46	:	39.0
47	:	39.0
48	:	39.0
49	:	48.0
50	:	48.0
51	:	48.0
52	:	59.0
53	:	59.0
54	:	59.0
55	:	73.0
56	:	73.0
57	:	73.0
58	:	74.0
59	:	74.0
60	:	74.0
61	:	90.0
62	:	90.0
63	:	90.0
64	:	45.0
65	:	45.0
66	:	42.0
67	:	42.0
68	:	42.0
69	:	40.0
70	:	40.0
71	:	38.0
72	:	38.0
73	:	35.0
74	:	35.0
75	:	25.0
76	:	22.0
77	:	22.0
78	:	20.0
79	:	20.0
80	:	18.0
81	:	15.0
82	:	15.0
83	:	30.0
84	:	30.0
85	:	28.0
86	:	28.0
87	:	25.0
88	:	25.0
89	:	25.0
90	:	23.0
91	:	23.0
92	:	20.0
93	:	20.0
94	:	10.0
95	:	10.0
96	:	8.0
97	:	8.0
98	:	5.0
99	:	5.0
100	:	2.0
101	:	0.0
102	:	0.0
103	:	35.0
104	:	35.0
105	:	33.0
106	:	33.0
107	:	32.0
108	:	30.0
109	:	30.0
110	:	30.0
111	:	28.0
112	:	28.0
113	:	26.0
114	:	25.0
115	:	25.0
116	:	44.0
117	:	42.0
118	:	42.0
119	:	40.0
120	:	40.0
121	:	38.0
122	:	38.0
123	:	35.0
124	:	50.0
125	:	50.0
126	:	50.0
127	:	48.0
128	:	48.0
129	:	47.0
130	:	47.0
131	:	45.0
132	:	45.0
133	:	95.0
134	:	95.0
135	:	53.0
136	:	92.0
137	:	53.0
138	:	45.0
139	:	90.0
140	:	88.0
141	:	88.0
142	:	87.0
143	:	85.0
144	:	85.0
145	:	75.0
146	:	72.0
147	:	70.0
148	:	68.0
149	:	66.0
150	:	65.0
151	:	65.0
152	:	63.0
153	:	60.0
154	:	60.0
155	:	67.0
156	:	65.0
157	:	65.0
158	:	62.0
159	:	60.0
160	:	60.0
161	:	58.0
162	:	55.0
163	:	55.0
164	:	40.0
]#;

YCoord = #[
0	:	50.0
1	:	50.0
2	:	50.0
3	:	50.0
4	:	52.0
