c101C5: 2, 2257.75, 2263.10, 0.20, subproblem = 1, timelimit = 105
r105C5: 2, 2156.08, 2156.08, 0.23, subproblem = 1, timelimit = 105
rc105C5: 2, 2233.77, 2233.77, 0.32, subproblem = 1, timelimit = 105
c206C5: 1, 1242.56, 1242.56, 0.46, subproblem = 1, timelimit = 105
rc108C5: 2, 2253.93, 2253.93, 0.57, subproblem = 1, timelimit = 105
r104C5: 2, 2136.69, 2136.69, 0.67, subproblem = 1, timelimit = 105
c208C5: 1, 1158.48, 1158.48, 1.10, subproblem = 1, timelimit = 105
r202C5: 1, 1128.78, 1128.78, 1.42, subproblem = 1, timelimit = 105
r203C5: 1, 1179.06, 1179.06, 1.72, subproblem = 1, timelimit = 105
c103C5: 1, 1175.37, 1175.37, 2.07, subproblem = 1, timelimit = 105
rc208C5: 1, 1167.98, 1167.98, 3.20, subproblem = 1, timelimit = 105
rc204C5: 1, 1176.39, 1176.39, 4.90, subproblem = 1, timelimit = 105
rc102C10: 4, 4423.51, 4423.51, 0.93, subproblem = 1, timelimit = 105
c202C10: 1, 1304.06, 1304.06, 1.06, subproblem = 1, timelimit = 105
c205C10: 2, 2228.28, 2228.28, 1.15, subproblem = 1, timelimit = 105
c101C10: 3, 3388.25, 3388.25, 1.38, subproblem = 1, timelimit = 105
r102C10: 3, 3249.19, 3249.19, 1.48, subproblem = 1, timelimit = 105
r201C10: 1, 1241.51, 1241.51, 2.06, subproblem = 1, timelimit = 105
rc201C10: 1, 1412.86, 1412.86, 2.13, subproblem = 1, timelimit = 105
rc108C10: 3, 3345.93, 3345.93, 2.28, subproblem = 1, timelimit = 105
r103C10: 2, 2206.12, 2206.12, 7.08, subproblem = 1, timelimit = 105
rc205C10: 2, 2325.98, 2325.98, 8.53, subproblem = 1, timelimit = 105
r203C10: 1, 1218.21, 1218.21, 8.68, subproblem = 1, timelimit = 105
c104C10: 2, 2273.93, 2273.93, 16.99, subproblem = 1, timelimit = 105
r105C15: 4, 4336.15, 4336.15, 3.78, subproblem = 1, timelimit = 105
r102C15: 5, 5412.78, 5413.74, 5.62, subproblem = 1, timelimit = 105
c106C15: 3, 3275.13, 3280.29, 6.30, subproblem = 1, timelimit = 105
c208C15: 2, 2300.55, 2300.55, 7.17, subproblem = 1, timelimit = 105
rc108C15: 3, 3370.25, 3370.25, 8.74, subproblem = 1, timelimit = 105
rc103C15: 4, 4397.67, 4397.67, 15.87, subproblem = 1, timelimit = 105
r209C15: 1, 1313.24, 1313.24, 25.14, subproblem = 1, timelimit = 105
c202C15: 2, 2383.62, 2384.26, 28.13, subproblem = 1, timelimit = 105
rc202C15: 2, 2394.39, 2394.39, 39.79, subproblem = 1, timelimit = 105
c103C15: 3, 3348.46, 3348.46, 72.14, subproblem = 1, timelimit = 105
rc204C15: 1, 1382.22, 1382.57, 80.10, subproblem = 1, timelimit = 105
r202C15: 2, 2358.00, 2363.12, 87.13, subproblem = 1, timelimit = 105
c201_21: 4, 4629.95, 4629.95, 87.66, subproblem = 1, timelimit = 630
c101_21: 12, 13043.38, 13043.43, 168.69, subproblem = 1, timelimit = 630
c107_21: 11, 12010.55, 12121.41, 309.84, subproblem = 1, timelimit = 630
c105_21: 11, 12032.48, 12045.83, 335.82, subproblem = 1, timelimit = 630
c106_21: 11, 12014.49, 12321.82, 387.48, subproblem = 1, timelimit = 630
c202_21: 4, 4629.95, 4633.45, 409.30, subproblem = 1, timelimit = 630
