Depot_0 = {0};
Stations = {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,};
Customers = {16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,};
Depot_N1 = {31};

v = 1.0;
C = 200.0;
Q = 77.75;
g = 0.39;
h = 1.0;

XCoord = #[
0	:	40.0
1	:	40.0
2	:	40.0
3	:	40.0
4	:	31.0
5	:	31.0
6	:	31.0
7	:	39.0
8	:	39.0
9	:	39.0
10	:	61.0
11	:	61.0
12	:	61.0
13	:	77.0
14	:	77.0
15	:	77.0
16	:	18.0
17	:	10.0
18	:	58.0
19	:	55.0
20	:	20.0
21	:	18.0
22	:	42.0
23	:	35.0
24	:	38.0
25	:	37.0
26	:	20.0
27	:	60.0
28	:	85.0
29	:	65.0
30	:	41.0
31	:	40.0
]#;

YCoord = #[
0	:	50.0
1	:	50.0
2	:	50.0
3	:	50.0
4	:	84.0
5	:	84.0
6	:	84.0
7	:	26.0
8	:	26.0
9	:	26.0
10	:	14.0
11	:	14.0
12	:	14.0
13	:	30.0
14	:	30.0
15	:	30.0
16	:	75.0
17	:	40.0
18	:	75.0
19	:	60.0
20	:	82.0
21	:	80.0
22	:	10.0
23	:	5.0
24	:	5.0
25	:	31.0
26	:	50.0
27	:	85.0
28	:	25.0
29	:	20.0
30	:	37.0
31	:	50.0
]#;

q = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	0.0
14	:	0.0
15	:	0.0
16	:	4.0
17	:	7.0
18	:	15.0
19	:	14.0
20	:	2.0
21	:	2.0
22	:	9.0
23	:	2.0
24	:	3.0
25	:	11.0
26	:	2.0
27	:	21.0
28	:	2.0
29	:	1.0
30	:	14.0
31	:	0.0
]#;

p = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	0.0
14	:	0.0
15	:	0.0
16	:	16.0
17	:	23.0
18	:	5.0
19	:	2.0
20	:	8.0
21	:	8.0
22	:	31.0
23	:	18.0
24	:	27.0
25	:	3.0
26	:	3.0
27	:	9.0
28	:	8.0
29	:	5.0
30	:	2.0
31	:	0.0
]#;

e = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	0.0
14	:	0.0
15	:	0.0
16	:	53.0
17	:	54.0
18	:	66.0
19	:	100.0
20	:	38.0
21	:	70.0
22	:	64.0
23	:	79.0
24	:	55.0
25	:	74.0
26	:	20.0
27	:	96.0
28	:	68.0
29	:	60.0
30	:	14.0
31	:	0.0
]#;

l = #[
0	:	240.0
1	:	240.0
2	:	240.0
3	:	240.0
4	:	240.0
5	:	240.0
6	:	240.0
7	:	240.0
8	:	240.0
9	:	240.0
10	:	240.0
11	:	240.0
12	:	240.0
13	:	240.0
14	:	240.0
15	:	240.0
16	:	187.0
17	:	154.0
18	:	184.0
19	:	211.0
20	:	192.0
21	:	192.0
22	:	182.0
23	:	184.0
24	:	184.0
25	:	192.0
26	:	136.0
27	:	189.0
28	:	178.0
29	:	190.0
30	:	146.0
31	:	240.0
]#;

s = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	0.0
14	:	0.0
15	:	0.0
16	:	10.0
17	:	10.0
18	:	10.0
19	:	10.0
20	:	10.0
21	:	10.0
22	:	10.0
23	:	10.0
24	:	10.0
25	:	10.0
26	:	10.0
27	:	10.0
28	:	10.0
29	:	10.0
30	:	10.0
31	:	0.0
]#;
