Depot_0 = {0};
Stations = {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,};
Customers = {16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,};
Depot_N1 = {31};

v = 1.0;
C = 700.0;
Q = 77.75;
g = 3.47;
h = 1.0;

XCoord = #[
0	:	40.0
1	:	40.0
2	:	40.0
3	:	40.0
4	:	77.0
5	:	77.0
6	:	77.0
7	:	31.0
8	:	31.0
9	:	31.0
10	:	39.0
11	:	39.0
12	:	39.0
13	:	77.0
14	:	77.0
15	:	77.0
16	:	18.0
17	:	75.0
18	:	33.0
19	:	35.0
20	:	23.0
21	:	55.0
22	:	62.0
23	:	50.0
24	:	38.0
25	:	92.0
26	:	64.0
27	:	35.0
28	:	25.0
29	:	14.0
30	:	90.0
31	:	40.0
]#;

YCoord = #[
0	:	50.0
1	:	50.0
2	:	50.0
3	:	50.0
4	:	52.0
5	:	52.0
6	:	52.0
7	:	84.0
8	:	84.0
9	:	84.0
10	:	26.0
11	:	26.0
12	:	26.0
13	:	30.0
14	:	30.0
15	:	30.0
16	:	75.0
17	:	55.0
18	:	35.0
19	:	32.0
20	:	52.0
21	:	80.0
22	:	69.0
23	:	40.0
24	:	5.0
25	:	30.0
26	:	46.0
27	:	66.0
28	:	30.0
29	:	66.0
30	:	35.0
31	:	50.0
]#;

q = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	0.0
14	:	0.0
15	:	0.0
16	:	4.0
17	:	14.0
18	:	9.0
19	:	9.0
20	:	4.0
21	:	6.0
22	:	8.0
23	:	40.0
24	:	3.0
25	:	3.0
26	:	14.0
27	:	5.0
28	:	8.0
29	:	2.0
30	:	3.0
31	:	0.0
]#;

p = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	0.0
14	:	0.0
15	:	0.0
16	:	16.0
17	:	6.0
18	:	1.0
19	:	1.0
20	:	6.0
21	:	4.0
22	:	2.0
23	:	10.0
24	:	27.0
25	:	7.0
26	:	6.0
27	:	5.0
28	:	2.0
29	:	8.0
30	:	7.0
31	:	0.0
]#;

e = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	0.0
14	:	0.0
15	:	0.0
16	:	0.0
17	:	508.0
18	:	27.0
19	:	0.0
20	:	2832.0
21	:	890.0
22	:	130.0
23	:	1910.0
24	:	0.0
25	:	0.0
26	:	0.0
27	:	28.0
28	:	587.0
29	:	1176.0
30	:	845.0
31	:	0.0
]#;

l = #[
0	:	3390.0
1	:	3390.0
2	:	3390.0
3	:	3390.0
4	:	3390.0
5	:	3390.0
6	:	3390.0
7	:	3390.0
8	:	3390.0
9	:	3390.0
10	:	3390.0
11	:	3390.0
12	:	3390.0
13	:	3390.0
14	:	3390.0
15	:	3390.0
16	:	3266.0
17	:	668.0
18	:	187.0
19	:	3281.0
20	:	2992.0
21	:	1050.0
22	:	290.0
23	:	2070.0
24	:	3254.0
25	:	3244.0
26	:	3275.0
27	:	188.0
28	:	747.0
29	:	1336.0
30	:	1005.0
31	:	3390.0
]#;

s = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	0.0
14	:	0.0
15	:	0.0
16	:	90.0
17	:	90.0
18	:	90.0
19	:	90.0
20	:	90.0
21	:	90.0
22	:	90.0
23	:	90.0
24	:	90.0
25	:	90.0
26	:	90.0
27	:	90.0
28	:	90.0
29	:	90.0
30	:	90.0
31	:	0.0
]#;
