200_2: 45, 67810.62, 67810.62, 1800.20, subproblem = 1, timelimit = 1800
200_1: 46, 74809.65, 74809.65, 1800.90, subproblem = 1, timelimit = 1800
200_3: 46, 69780.62, 69780.62, 1801.04, subproblem = 1, timelimit = 1800
200_4: 48, 76360.16, 76360.16, 1803.45, subproblem = 1, timelimit = 1800
400_4: 94, 143079.30, 143079.30, 5402.40, subproblem = 1, timelimit = 5400
400_2: 93, 138740.49, 138740.49, 5403.54, subproblem = 1, timelimit = 5400
400_1: 97, 141778.27, 141778.27, 5404.05, subproblem = 1, timelimit = 5400
400_3: 84, 118845.30, 118845.30, 5404.86, subproblem = 1, timelimit = 5400
600_4: 157, 222883.27, 222883.27, 9000.74, subproblem = 1, timelimit = 9000
600_2: 140, 206662.01, 206662.01, 9001.65, subproblem = 1, timelimit = 9000
600_1: 139, 213213.76, 213213.76, 9003.70, subproblem = 1, timelimit = 9000
600_3: 125, 174199.35, 174199.35, 9010.03, subproblem = 1, timelimit = 9000
800_3: 171, 239985.45, 239985.45, 12601.46, subproblem = 1, timelimit = 12600
800_1: 212, 329672.42, 329672.42, 12603.91, subproblem = 1, timelimit = 12600
800_2: 209, 315010.66, 315010.66, 12611.72, subproblem = 1, timelimit = 12600
800_4: 195, 290339.44, 290339.44, 12614.85, subproblem = 1, timelimit = 12600
1000_3: 238, 365380.06, 365380.06, 16211.18, subproblem = 1, timelimit = 16200
1000_4: 248, 389016.39, 389016.39, 16215.89, subproblem = 1, timelimit = 16200
1000_2: 267, 415735.12, 415735.12, 16218.27, subproblem = 1, timelimit = 16200
1000_1: 249, 399404.62, 399404.62, 16222.92, subproblem = 1, timelimit = 16200
