Depot_0 = {0};
Stations = {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,};
Customers = {16,17,18,19,20,21,22,23,24,25,};
Depot_N1 = {26};

v = 1.0;
C = 1000.0;
Q = 60.63;
g = 0.49;
h = 1.0;

XCoord = #[
0	:	35.0
1	:	35.0
2	:	35.0
3	:	35.0
4	:	59.0
5	:	59.0
6	:	59.0
7	:	20.0
8	:	20.0
9	:	20.0
10	:	15.0
11	:	15.0
12	:	15.0
13	:	21.0
14	:	21.0
15	:	21.0
16	:	11.0
17	:	20.0
18	:	32.0
19	:	61.0
20	:	37.0
21	:	15.0
22	:	12.0
23	:	49.0
24	:	57.0
25	:	5.0
26	:	35.0
]#;

YCoord = #[
0	:	35.0
1	:	35.0
2	:	35.0
3	:	35.0
4	:	67.0
5	:	67.0
6	:	67.0
7	:	61.0
8	:	61.0
9	:	61.0
10	:	42.0
11	:	42.0
12	:	42.0
13	:	22.0
14	:	22.0
15	:	22.0
16	:	31.0
17	:	65.0
18	:	12.0
19	:	52.0
20	:	47.0
21	:	30.0
22	:	24.0
23	:	11.0
24	:	68.0
25	:	30.0
26	:	35.0
]#;

q = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	0.0
14	:	0.0
15	:	0.0
16	:	2.0
17	:	3.0
18	:	2.0
19	:	2.0
20	:	4.0
21	:	13.0
22	:	6.0
23	:	4.0
24	:	12.0
25	:	0.0
26	:	0.0
]#;

p = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	0.0
14	:	0.0
15	:	0.0
16	:	5.0
17	:	9.0
18	:	5.0
19	:	1.0
20	:	2.0
21	:	13.0
22	:	7.0
23	:	14.0
24	:	3.0
25	:	2.0
26	:	0.0
]#;

e = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	0.0
14	:	0.0
15	:	0.0
16	:	0.0
17	:	0.0
18	:	0.0
19	:	648.0
20	:	0.0
21	:	21.0
22	:	329.0
23	:	0.0
24	:	0.0
25	:	0.0
26	:	0.0
]#;

l = #[
0	:	1000.0
1	:	1000.0
2	:	1000.0
3	:	1000.0
4	:	1000.0
5	:	1000.0
6	:	1000.0
7	:	1000.0
8	:	1000.0
9	:	1000.0
10	:	1000.0
11	:	1000.0
12	:	1000.0
13	:	1000.0
14	:	1000.0
15	:	1000.0
16	:	965.0
17	:	956.0
18	:	966.0
19	:	826.0
20	:	977.0
21	:	182.0
22	:	551.0
23	:	962.0
24	:	950.0
25	:	959.0
26	:	1000.0
]#;

s = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	0.0
14	:	0.0
15	:	0.0
16	:	10.0
17	:	10.0
18	:	10.0
19	:	10.0
20	:	10.0
21	:	10.0
22	:	10.0
23	:	10.0
24	:	10.0
25	:	10.0
26	:	0.0
]#;
