200_3: 44, 67644.15, 69089.36, 3196.51, subproblem = 1, timelimit = 3600
200_2: 42, 65007.91, 66759.93, 3577.74, subproblem = 1, timelimit = 3600
200_1: 47, 73644.20, 74971.07, 3601.47, subproblem = 1, timelimit = 3600
200_4: 46, 71929.75, 74205.32, 3601.88, subproblem = 1, timelimit = 3600
400_3: 82, 115586.81, 116862.96, 10434.63, subproblem = 1, timelimit = 10800
400_4: 88, 135410.22, 137420.59, 10744.00, subproblem = 1, timelimit = 10800
400_1: 92, 134302.39, 137821.08, 10804.12, subproblem = 1, timelimit = 10800
400_2: 90, 134084.89, 135903.71, 11032.40, subproblem = 1, timelimit = 10800
600_4: 128, 188018.90, 191041.29, 18016.40, subproblem = 1, timelimit = 18000
600_1: 137, 202030.04, 207678.74, 18498.28, subproblem = 1, timelimit = 18000
600_2: 135, 201625.22, 205362.93, 18544.71, subproblem = 1, timelimit = 18000
600_3: 122, 169213.04, 171977.52, 18403.92, subproblem = 1, timelimit = 18000
800_2: 179, 263423.50, 269372.58, 25209.97, subproblem = 1, timelimit = 25200
800_4: 169, 248967.19, 260163.60, 25228.11, subproblem = 1, timelimit = 25200
800_1: 178, 264947.80, 271723.12, 25368.63, subproblem = 1, timelimit = 25200
800_3: 163, 226143.04, 232084.76, 26087.54, subproblem = 1, timelimit = 25200
1000_1: 219, 323977.19, 337199.82, 32435.92, subproblem = 1, timelimit = 32400
1000_4: 215, 316816.36, 323327.80, 32451.29, subproblem = 1, timelimit = 32400
1000_2: 221, 332121.12, 341578.59, 32909.71, subproblem = 1, timelimit = 32400
1000_3: 204, 283186.67, 288387.04, 33144.56, subproblem = 1, timelimit = 32400
