c101C5: 2, 2257.75, 2263.10, 0.20, subproblem = 1, timelimit = 105
r105C5: 2, 2156.08, 2156.08, 0.22, subproblem = 1, timelimit = 105
rc105C5: 2, 2233.77, 2233.77, 0.32, subproblem = 1, timelimit = 105
c206C5: 1, 1242.56, 1242.56, 0.45, subproblem = 1, timelimit = 105
rc108C5: 2, 2253.93, 2253.93, 0.56, subproblem = 1, timelimit = 105
r104C5: 2, 2136.69, 2136.69, 0.67, subproblem = 1, timelimit = 105
c208C5: 1, 1158.48, 1158.48, 1.08, subproblem = 1, timelimit = 105
r202C5: 1, 1128.78, 1128.78, 1.41, subproblem = 1, timelimit = 105
r203C5: 1, 1179.06, 1179.06, 1.72, subproblem = 1, timelimit = 105
c103C5: 1, 1175.37, 1175.37, 2.06, subproblem = 1, timelimit = 105
rc208C5: 1, 1167.98, 1167.98, 3.16, subproblem = 1, timelimit = 105
rc204C5: 1, 1176.39, 1176.39, 4.89, subproblem = 1, timelimit = 105
rc102C10: 4, 4423.51, 4423.51, 0.91, subproblem = 1, timelimit = 105
c202C10: 1, 1304.06, 1304.06, 1.05, subproblem = 1, timelimit = 105
c205C10: 2, 2228.28, 2228.28, 1.13, subproblem = 1, timelimit = 105
c101C10: 3, 3388.25, 3388.25, 1.35, subproblem = 1, timelimit = 105
r102C10: 3, 3249.19, 3249.19, 1.46, subproblem = 1, timelimit = 105
r201C10: 1, 1241.51, 1241.51, 2.06, subproblem = 1, timelimit = 105
rc201C10: 1, 1412.86, 1412.86, 2.10, subproblem = 1, timelimit = 105
rc108C10: 3, 3345.93, 3345.93, 2.26, subproblem = 1, timelimit = 105
r103C10: 2, 2206.12, 2206.12, 7.03, subproblem = 1, timelimit = 105
rc205C10: 2, 2325.98, 2325.98, 8.46, subproblem = 1, timelimit = 105
r203C10: 1, 1218.21, 1218.21, 8.63, subproblem = 1, timelimit = 105
c104C10: 2, 2273.93, 2273.93, 16.03, subproblem = 1, timelimit = 105
r105C15: 4, 4336.15, 4336.15, 3.73, subproblem = 1, timelimit = 105
r102C15: 5, 5412.78, 5413.74, 5.46, subproblem = 1, timelimit = 105
c106C15: 3, 3275.13, 3280.29, 6.18, subproblem = 1, timelimit = 105
c208C15: 2, 2300.55, 2300.55, 7.04, subproblem = 1, timelimit = 105
