Depot_0 = {0};
Stations = {1,2,3,4,5,6,7,8,9,10,11,12,};
Customers = {13,14,15,16,17,18,19,20,21,22,};
Depot_N1 = {23};

v = 1.0;
C = 200.0;
Q = 77.75;
g = 3.47;
h = 1.0;

XCoord = #[
0	:	40.0
1	:	40.0
2	:	40.0
3	:	40.0
4	:	57.0
5	:	57.0
6	:	57.0
7	:	22.0
8	:	22.0
9	:	22.0
10	:	76.0
11	:	76.0
12	:	76.0
13	:	53.0
14	:	8.0
15	:	85.0
16	:	42.0
17	:	65.0
18	:	60.0
19	:	33.0
20	:	28.0
21	:	40.0
22	:	28.0
23	:	40.0
]#;

YCoord = #[
0	:	50.0
1	:	50.0
2	:	50.0
3	:	50.0
4	:	82.0
5	:	82.0
6	:	82.0
7	:	34.0
8	:	34.0
9	:	34.0
10	:	21.0
11	:	21.0
12	:	21.0
13	:	30.0
14	:	45.0
15	:	25.0
16	:	66.0
17	:	60.0
18	:	80.0
19	:	32.0
20	:	52.0
21	:	15.0
22	:	30.0
23	:	50.0
]#;

q = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	5.660377358490566
14	:	3.555555555555556
15	:	2.9411764705882355
16	:	6.363636363636363
17	:	27.692307692307693
18	:	7.5
19	:	19.393939393939394
20	:	10.769230769230768
21	:	15.0
22	:	9.333333333333334
23	:	0.0
]#;

p = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	4.339622641509434
14	:	16.444444444444443
15	:	7.0588235294117645
16	:	3.6363636363636367
17	:	2.3076923076923066
18	:	2.5
19	:	0.6060606060606055
20	:	9.230769230769232
21	:	25.0
22	:	0.6666666666666661
23	:	0.0
]#;

e = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	0.0
14	:	0.0
15	:	0.0
16	:	0.0
17	:	0.0
18	:	177.0
19	:	0.0
20	:	0.0
21	:	0.0
22	:	0.0
23	:	0.0
]#;

l = #[
0	:	1236.0
1	:	1236.0
2	:	1236.0
3	:	1236.0
4	:	1236.0
5	:	1236.0
6	:	1236.0
7	:	1236.0
8	:	1236.0
9	:	1236.0
10	:	1236.0
11	:	1236.0
12	:	1236.0
13	:	1122.0
14	:	1113.0
15	:	1094.0
16	:	1129.0
17	:	1119.0
18	:	243.0
19	:	1126.0
20	:	1133.0
21	:	1111.0
22	:	1122.0
23	:	1236.0
]#;

s = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	90.0
14	:	90.0
15	:	90.0
16	:	90.0
17	:	90.0
18	:	90.0
19	:	90.0
20	:	90.0
21	:	90.0
22	:	90.0
23	:	0.0
]#;
