Depot_0 = {0};
Stations = {1,2,3,4,5,6,7,8,9,10,11,12,};
Customers = {13,14,15,16,17,18,19,20,21,22,};
Depot_N1 = {23};

v = 1.0;
C = 200.0;
Q = 77.75;
g = 0.39;
h = 1.0;

XCoord = #[
0	:	40.0
1	:	40.0
2	:	40.0
3	:	40.0
4	:	77.0
5	:	77.0
6	:	77.0
7	:	39.0
8	:	39.0
9	:	39.0
10	:	77.0
11	:	77.0
12	:	77.0
13	:	35.0
14	:	30.0
15	:	42.0
16	:	20.0
17	:	55.0
18	:	53.0
19	:	95.0
20	:	8.0
21	:	20.0
22	:	55.0
23	:	40.0
]#;

YCoord = #[
0	:	50.0
1	:	50.0
2	:	50.0
3	:	50.0
4	:	52.0
5	:	52.0
6	:	52.0
7	:	26.0
8	:	26.0
9	:	26.0
10	:	30.0
11	:	30.0
12	:	30.0
13	:	69.0
14	:	25.0
15	:	12.0
16	:	82.0
17	:	60.0
18	:	43.0
19	:	30.0
20	:	40.0
21	:	50.0
22	:	82.0
23	:	50.0
]#;

q = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	11.666666666666668
14	:	19.166666666666668
15	:	2.8571428571428568
16	:	2.4390243902439024
17	:	14.666666666666666
18	:	11.358490566037737
19	:	9.473684210526315
20	:	8.0
21	:	2.0
22	:	6.707317073170732
23	:	0.0
]#;

p = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	11.333333333333332
14	:	3.833333333333332
15	:	7.142857142857143
16	:	7.560975609756097
17	:	1.333333333333334
18	:	2.6415094339622627
19	:	20.526315789473685
20	:	32.0
21	:	3.0
22	:	3.2926829268292677
23	:	0.0
]#;

e = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	83.0
14	:	27.0
15	:	85.0
16	:	53.0
17	:	170.0
18	:	140.0
19	:	121.0
20	:	86.0
21	:	0.0
22	:	36.0
23	:	0.0
]#;

l = #[
0	:	240.0
1	:	240.0
2	:	240.0
3	:	240.0
4	:	240.0
5	:	240.0
6	:	240.0
7	:	240.0
8	:	240.0
9	:	240.0
10	:	240.0
11	:	240.0
12	:	240.0
13	:	113.0
14	:	57.0
15	:	115.0
16	:	83.0
17	:	200.0
18	:	170.0
19	:	151.0
20	:	116.0
21	:	210.0
22	:	66.0
23	:	240.0
]#;

s = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	10.0
14	:	10.0
15	:	10.0
16	:	10.0
17	:	10.0
18	:	10.0
19	:	10.0
20	:	10.0
21	:	10.0
22	:	10.0
23	:	0.0
]#;
