NAME : r102C10
TYPE : EVRP-TW-SPD
DIMENSION : 15
VEHICLES : 25
DISPATCHINGCOST : 1000
UNITCOST : 1.0
CAPACITY : 200.0
ELECTRIC_POWER : 60.63
CONSUMPTION_RATE : 1.0
RECHARGING_RATE : 0.49
EDGE_WEIGHT_TYPE : EXPLICIT
NODE_SECTION
ID,type,x,y,delivery,pickup,ready_time,due_date,service_time
0,d,35.0,35.0,0.000000000000000,0.000000000000000,0.0,230.0,0.0
1,c,31.0,52.0,16.000000000000000,11.000000000000000,25.0,35.0,10.0
2,c,55.0,5.0,2.000000000000000,27.000000000000000,97.0,107.0,10.0
3,c,67.0,5.0,1.000000000000000,24.000000000000000,0.0,176.0,10.0
4,c,17.0,34.0,1.000000000000000,2.000000000000000,0.0,201.0,10.0
5,c,26.0,52.0,4.000000000000000,5.000000000000000,166.0,176.0,10.0
6,c,53.0,43.0,11.000000000000000,3.000000000000000,150.0,160.0,10.0
7,c,45.0,65.0,6.000000000000000,3.000000000000000,77.0,87.0,10.0
8,c,20.0,26.0,6.000000000000000,3.000000000000000,138.0,148.0,10.0
9,c,50.0,35.0,13.000000000000000,6.000000000000000,177.0,187.0,10.0
10,c,45.0,20.0,4.000000000000000,7.000000000000000,0.0,201.0,10.0
11,f,35.0,35.0,0.000000000000000,0.000000000000000,0.0,230.0,0.0
12,f,28.0,62.0,0.000000000000000,0.000000000000000,0.0,230.0,0.0
13,f,51.0,7.0,0.000000000000000,0.000000000000000,0.0,230.0,0.0
14,f,63.0,12.0,0.000000000000000,0.000000000000000,0.0,230.0,0.0
DISTANCETIME_SECTION
ID,from_node,to_node,distance,spend_tm
0,0,1,17.464249196572979,17.464249196572979
1,0,2,36.055512754639892,36.055512754639892
2,0,3,43.863424398922618,43.863424398922618
3,0,4,18.027756377319946,18.027756377319946
4,0,5,19.235384061671343,19.235384061671343
5,0,6,19.697715603592208,19.697715603592208
6,0,7,31.622776601683793,31.622776601683793
7,0,8,17.492855684535900,17.492855684535900
8,0,9,15.000000000000000,15.000000000000000
9,0,10,18.027756377319946,18.027756377319946
10,0,11,0.000000000000000,0.000000000000000
11,0,12,27.892651361962706,27.892651361962706
12,0,13,32.249030993194197,32.249030993194197
13,0,14,36.235341863986875,36.235341863986875
14,1,0,17.464249196572979,17.464249196572979
15,1,2,52.773099207835045,52.773099207835045
16,1,3,59.203040462462738,59.203040462462738
17,1,4,22.803508501982758,22.803508501982758
18,1,5,5.000000000000000,5.000000000000000
19,1,6,23.769728648009426,23.769728648009426
20,1,7,19.104973174542799,19.104973174542799
21,1,8,28.231188426986208,28.231188426986208
22,1,9,25.495097567963924,25.495097567963924
23,1,10,34.928498393145958,34.928498393145958
24,1,11,17.464249196572979,17.464249196572979
25,1,12,10.440306508910551,10.440306508910551
26,1,13,49.244289008980523,49.244289008980523
27,1,14,51.224993899462788,51.224993899462788
28,2,0,36.055512754639892,36.055512754639892
29,2,1,52.773099207835045,52.773099207835045
30,2,3,12.000000000000000,12.000000000000000
31,2,4,47.801673610868477,47.801673610868477
32,2,5,55.226805085936306,55.226805085936306
33,2,6,38.052595180880893,38.052595180880893
34,2,7,60.827625302982199,60.827625302982199
35,2,8,40.816663263917100,40.816663263917100
36,2,9,30.413812651491099,30.413812651491099
37,2,10,18.027756377319946,18.027756377319946
38,2,11,36.055512754639892,36.055512754639892
39,2,12,63.071388124885914,63.071388124885914
40,2,13,4.472135954999580,4.472135954999580
41,2,14,10.630145812734650,10.630145812734650
42,3,0,43.863424398922618,43.863424398922618
43,3,1,59.203040462462738,59.203040462462738
44,3,2,12.000000000000000,12.000000000000000
45,3,4,57.801384066473702,57.801384066473702
46,3,5,62.369864518050704,62.369864518050704
47,3,6,40.496913462633174,40.496913462633174
